RA,Dec,MagV,Identifier,Name,Bayer,HR,HD,IAUboundary
0.099583247,26.918108,6.434,HIP 34,-,-,9078,224758,Peg
0.128698178,59.55968082,6.177,HIP 43,-,-,9079,224784,Cas
0.143087896,-53.09771355,6.48,-,-,-,-,224782A,Phe
0.181810391,45.25333529,6.347,HIP 63,-,CG And,9080,224801,And
0.269095377,-48.80987439,5.698,HIP 88,-,τ Phoenicis,9081,224834,Phe
0.330214159,49.98155694,6.217,HIP 106,-,-,9083,224870,Cas
0.333829527,-50.33737026,5.524,HIP 107,-,-,9082,224865,Phe
0.398747712,-77.06572535,4.783,HIP 122,-,θ Octantis,9084,224889,Oct
0.404233491,61.22279986,5.567,HIP 124,-,-,9085,224893,Cas
0.414410077,73.61184647,6.492,HIP 128,-,-,-,224890,Cep
0.432705044,42.36714334,6.24,HIP 137,-,-,9086,224906,And
0.456033803,-3.027503283,5.1,HIP 145,-,29 Psc,9087,224926,Psc
0.490081132,-6.014070557,4.41,HIP 154,-,30 Psc,9089,224935,Psc
0.543119664,27.08183308,5.75,HIP 171,-,85 Peg,9088,224930,Peg
0.583029427,-29.72044125,5.022,HIP 183,-,ζ Sculptoris,9091,224990,Scl
0.600694731,8.956824883,6.325,HIP 186,-,31 Psc,9092,224995,Psc
0.623758727,8.485463714,5.69,HIP 194,-,32 Psc,9093,225003,Psc
0.650386057,66.09896335,5.842,HIP 207,-,-,9094,225009,Cas
0.739534104,-20.04588302,6.238,HIP 238,-,4 G. Cet,9095,225045,Cet
0.782725268,-24.14514473,6.443,HIP 253,-,5 G. Cet,9096,225069,Cet
0.857148477,63.64051696,6.22,HIP 274,-,-,9097,225094,Cas
0.934949296,-17.33599144,4.536,HIP 301,Hydor,2 Cet,9098,225132,Cet
0.965171424,66.71218559,6.323,HIP 302,-,V398 Cep,9099,225136,Cep
1.056926888,62.28766423,5.884,HIP 330,-,9 Cas,9100,225180,Cas
1.082461733,-16.52903662,5.769,HIP 343,-,7 G. Cet,9101,225197,Cet
1.084654682,-29.2688223,6.39,HIP 345,-,-,9102,225200,Scl
1.125494801,-10.50952192,4.924,HIP 355,-,3 Cet,9103,225212,Cet
1.152435523,42.09252227,6.14,HIP 365,-,-,9105,225218,And
1.172116401,-71.4368901,5.585,HIP 377,-,-,9108,225253,Tuc
1.174922087,67.16644512,5.676,HIP 379,-,-,9104,225216,Cep
1.223852864,34.65966701,6.11,HIP 394,-,-,9107,225239,And
1.233329181,26.64877089,6.25,HIP 399,-,-,9109,225276,Peg
1.254933697,27.67479084,6.462,HIP 410,-,-,-,225292,Peg
1.265928128,-0.503035727,6.298,HIP 417,-,-,2,6,Psc
1.275628669,61.31397009,5.791,HIP 418,-,-,9110,225289,Cas
1.33392155,-5.707619916,4.61,HIP 443,-,33 Psc,3,28,Psc
1.424840055,13.39626813,5.537,HIP 476,-,86 Peg,4,87,Peg
1.565891108,58.43669646,6.42,HIP 518A,-,-,-,-,Cas
1.579897185,-49.07518646,5.76,HIP 522,-,-,6,142,Phe
1.610572193,64.19615797,5.59,HIP 531,-,10 Cas,7,144,Cas
1.653266695,29.02150353,6.07,HIP 544,-,V439 And,8,166,And
1.708693016,-23.10754046,6.173,HIP 560,-,9 G. Cet,9,203,Cet
1.826107653,-17.38699254,6.203,HIP 602,-,10 G. Cet,10,256,Cet
1.933796531,-2.548680152,6.43,HIP 635,-,4 Cet,11,315,Psc
1.945414945,-22.50855699,5.923,HIP 636,-,11 G. Cet,12,319,Cet
2.01452875,-33.52932472,5.662,HIP 655,-,-,13,344,Scl
2.050398131,-2.447705718,6.22,HIP 664,-,5 Cet,14,352,Psc
2.073051795,-8.824111623,5.98,HIP 671,-,12 G. Cet,16,360,Cet
2.09691619,29.09043112,2.06,HIP 677,Alpheratz,α Andromedae,15,358,And
2.136910426,63.20403299,6.42,HIP 695,-,-,-,371,Cas
2.139570603,-17.57815503,6.13,HIP 696,-,CF Cet,18,402,Cet
2.217233387,25.46298489,6.246,HIP 716,-,-,19,417,Peg
2.250670027,28.24754157,6.47,HIP 728,-,-,-,434,Peg
2.259971195,-54.00195522,6.33,HIP 730,-,-,23,469,Phe
2.260103096,18.21196522,5.555,HIP 729,-,87 Peg,22,448,Peg
2.29452158,59.1497811,2.27,HIP 746,Caph,β Cassiopeiae,21,432,Cas
2.334032859,79.71455492,6.12,-,-,-,20,431A,Cep
2.337340926,-27.98799035,6.19,HIP 761,-,* kap01 Scl B,24,493,Scl
2.33778532,-27.98792454,6.13,HIP 761,-,* kap01 Scl A,24,493,Scl
2.352667056,-45.74742391,3.87,HIP 765,-,ϵ Phoenicis,25,496,Phe
2.467150775,-62.2967939,6.33,HIP 798,-,-,-,565,Tuc
2.509052044,-82.22404708,5.283,HIP 814,-,γ 3 Octantis,30,636,Oct
2.509179173,11.14581581,5.53,HIP 813,-,34 Psc,26,560,Psc
2.578630028,-5.248588046,5.844,HIP 840,-,67 G. Psc,29,587,Psc
2.580193752,46.07227104,5.04,HIP 841,-,22 And,27,571,And
2.678475447,-12.57989824,5.849,HIP 873,-,14 G. Cet,31,645,Cet
2.816075165,-15.46797791,4.89,HIP 910,-,6 Cet,33,693,Cet
2.893419661,-27.79971967,5.404,HIP 930,-,κ 2 Sculptoris,34,720,Scl
2.933421154,-35.13311471,5.239,HIP 950,-,θ Sculptoris,35,739,Scl
2.99618791,48.15239764,6.162,HIP 967,-,-,36,743,And
3.041602352,-17.93825081,5.265,HIP 983,-,18 G. Cet,37,787,Cet
3.289593154,16.92145654,6.5,HIP 1057,-,-,-,874,Peg
3.308968121,15.18359843,2.84,HIP 1067,Algenib,γ Pegasi,39,886,Peg
3.331757832,-84.99397718,5.77,HIP 1074,-,-,47,1032,Oct
3.34967172,26.98754639,6.277,HIP 1076,-,-,40,895,And
3.426017408,-26.02235136,5.937,HIP 1096,-,-,42,942,Scl
3.434911947,-26.28496257,6.119,HIP 1099,-,-,43,943,Scl
3.509495332,33.20604137,6.25,HIP 1123,-,-,44,952,And
3.584124771,-27.5313951,6.46,HIP 1144,-,-,-,1002,Scl
3.615128361,-7.780528686,5.12,HIP 1158,-,AD Cet,46,1014,Cet
3.65068451,20.20670288,4.8,HIP 1168,-,χ Pegasi,45,1013,Peg
3.660070473,-18.93286335,4.46,HIP 1170,-,7 Cet,48,1038,Cet
3.72714784,-9.569563113,5.749,HIP 1191,-,27 G. Cet,51,1064,Cet
3.732909978,22.28422577,6.234,HIP 1193,-,-,49,1048,Peg
3.74275718,-34.90422282,6.159,HIP 1195,-,-,54,1089,Scl
3.745168167,8.820961326,6.01,HIP 1196,-,35 Psc,50,1061,Psc
3.778961192,31.53572589,6.34,HIP 1208,-,-,52,1075,And
3.794019848,27.28344122,6.342,HIP 1215,-,-,53,1083,And
3.842774738,-32.04526879,6.2,HIP 1236,-,S Scl,-,1115,Scl
3.978522423,61.0001756,6.432,HIP 1269,-,-,-,1142,Cas
4.036944674,-31.44639094,5.642,HIP 1288,-,-,57,1187,Scl
4.089703748,43.59505094,6.15,HIP 1302,-,-,56,1185,And
4.141841068,8.240157252,6.121,HIP 1319,-,36 Psc,59,1227,Psc
4.176426112,-20.21006133,6.491,HIP 1331,-,-,61,1256,Cet
4.190325922,10.24478092,6.49,HIP 1339,-,-,-,1255,Psc
4.237679744,61.53318574,5.737,HIP 1354,-,-,60,1239,Cas
4.272926514,38.68163573,4.61,HIP 1366,-,θ Andromedae,63,1280,And
4.287683471,47.9474061,5.852,HIP 1372,-,-,62,1279,Cas
4.386262708,-19.05109374,6.446,HIP 1402,-,29 G. Cet,66,1343,Cet
4.429430472,51.4330879,6.14,HIP 1415,-,AO Cas,65,1337,Cas
4.448743802,1.688729746,6.176,HIP 1421,-,76 G. Psc,67,1367,Psc
4.495285823,-13.45564087,6.5,HIP 1444,-,-,-,1388,Cet
4.571857861,11.20621543,6.045,HIP 1465,-,-,69,1419,Psc
4.581905703,36.78522459,4.52,HIP 1473,-,σ Andromedae,68,1404,And
4.659408701,31.51722831,5.875,HIP 1493,-,-,71,1439,And
4.674448649,-8.053001064,6.46,HIP 1499,-,-,72,1461,Cet
4.675703683,43.79114117,6.11,HIP 1501,-,26 And,70,1438,And
4.677337099,-43.23556907,6.328,HIP 1502,-,-,73,1483,Phe
4.856976645,-8.82391916,3.55,HIP 1562,-,ι Ceti,74,1522,Cet
4.923164316,40.72946464,6.34,HIP 1575,-,-,75,1527,And
5.017744306,-64.87479366,4.23,HIP 1599,-,ζ Tucanae,77,1581,Tuc
5.101672288,30.93561367,5.869,HIP 1630,-,-,78,1606,And
5.128871125,48.96863344,6.47,HIP 1639,-,-,-,1601,Cas
5.149425122,8.190271705,5.37,HIP 1645,-,41 Psc,80,1635,Psc
5.162675949,-69.62491874,5.499,HIP 1647,-,π Tucanae,83,1685,Tuc
5.189653795,32.91118678,5.794,HIP 1657,-,-,79,1632,And
5.280286413,37.96860546,5.18,HIP 1686,-,ρ Andromedae,82,1671,And
5.369884337,-77.42688172,5.959,HIP 1706,-,-,87,1801,Hyi
5.37999274,-28.98147021,5.167,HIP 1708,-,ι Sculptoris,84,1737,Scl
5.442802657,-20.05802465,5.74,HIP 1728,-,T Cet,85,1760,Cet
5.606178771,13.48248847,6.24,HIP 1772,-,42 Psc,86,1796,Psc
5.715785231,-12.20943609,6.39,HIP 1803,-,9 Cet,88,1835,Cet
5.768296266,-15.94253053,6.425,HIP 1821,-,38 G. Cet,-,1879,Cet
6.022329,-72.081444,4.09,HIP 1902,-,47 Tuc,95,2051,Tuc
6.065225015,52.01991756,5.58,HIP 1921,-,-,91,1976,Cas
6.123539878,-2.219063023,6.067,HIP 1939,-,84 G. Psc,94,2023,Psc
6.158979587,14.31551681,6.46,HIP 1948,-,43 Psc,-,2035,Psc
6.197939469,61.83105781,5.377,HIP 1960,-,12 Cas,93,2011,Cas
6.276710401,53.04678189,5.719,HIP 1982,-,-,96,2054,Cas
6.35086818,1.939692481,5.77,HIP 2006,-,44 Psc,97,2114,Psc
6.43779316,-77.25424612,2.79,HIP 2021,-,β Hydri,98,2151,Hyi
6.550838932,-43.67983066,3.94,HIP 2072,-,κ Phoenicis,100,2262,Phe
6.57104752,-42.30598719,2.38,HIP 2081,Ankaa,α Phoenicis,99,2261,Phe
6.590630311,-18.69363206,6.266,HIP 2086,-,39 G. Cet,-,2268,Cet
6.655878177,-0.049521981,6.192,HIP 2100,-,10 Cet,101,2273,Cet
6.811281521,-25.54717346,5.969,HIP 2159,-,-,102,2363,Scl
6.879454505,16.02548345,6.432,HIP 2178,-,-,-,2358,Psc
6.982074256,-33.00716597,4.81,HIP 2210,-,η Sculptoris,105,2429,Scl
6.993609443,19.51403788,6.38,HIP 2213,-,46 Psc,-,2410,Psc
7.012144839,17.89312705,5.06,HIP 2219,-,47 Psc,103,2411,Psc
7.052928749,16.44506825,6.039,HIP 2224,-,48 Psc,106,2436,Psc
7.056955605,44.39446929,5.173,HIP 2225,-,-,104,2421,And
7.08789782,-20.33504926,6.44,HIP 2237,-,43 G. Cet,108,2475,Cet
7.110505452,-39.91499922,5.415,HIP 2240,-,-,109,2490,Phe
7.179693071,-50.53285701,6.265,HIP 2256,-,-,111,2529,Phe
7.236095512,36.89969334,6.273,HIP 2270,-,-,110,2507,And
7.466237534,-14.86410891,6.131,HIP 2337,-,47 G. Cet,115,2630,Cet
7.509826749,-3.957327204,5.72,HIP 2353,-,12 Cet,117,2637,Cet
7.530687977,29.7515578,5.214,HIP 2355,-,GN And,114,2628,And
7.536188955,4.860110896,6.5,HIP 2358,-,-,-,2648,Psc
7.583060093,59.97755263,5.94,HIP 2377,-,-,113,2626,Cas
7.594396164,-23.7876815,5.19,HIP 2381,-,49 G. Cet,118,2696,Cet
7.607,60.213,6.5,-,-,NGC 129,-,-,Cas
7.608596955,-48.21482097,5.664,HIP 2383,-,-,120,2726,Phe
7.615938483,-40.93958447,6.172,HIP 2388,-,-,119,2724,Phe
7.85408769,-48.80351425,4.77,HIP 2472,-,λ 1 Phoenicis,125,2834,Phe
7.85512146,66.51961695,6.165,HIP 2474,-,13 Cas,121,2729,Cas
7.856824417,33.58163658,5.878,HIP 2475,-,-,122,2767,And
7.886116901,-62.95821746,4.289,HIP 2484,-,β 1 Tucanae,126,2884,Tuc
7.889259603,-62.96559275,4.514,HIP 2487,-,β 2 Tucanae,127,2885,Tuc
7.88945,-62.965564,4.488,HIP 2487,-,* bet02 Tuc A,127,2885,Tuc
7.92148832,52.8395281,5.596,HIP 2497,-,-,124,2774,Cas
7.9429675,54.5221944,5.63,HIP 2505,-,* lam Cas B,123,2772,Cas
7.9429864,54.5223119,5.35,HIP 2505,-,* lam Cas A,123,2772,Cas
8.099078919,6.955485366,5.679,HIP 2548,-,51 Psc,132,2913,Psc
8.147853368,20.2943177,5.37,HIP 2568,-,52 Psc,131,2910,Psc
8.182939061,-63.03150056,5.09,HIP 2578,-,β 3 Tucanae,136,3003,Tuc
8.204525378,28.2802409,6.33,HIP 2583,-,-,134,2942,And
8.249966182,62.93178142,4.16,HIP 2599,Cexing,κ Cassiopeiae,130,2905,Cas
8.293310386,54.89498601,5.922,HIP 2611,-,-,135,2952,Cas
8.330273607,70.98185484,6.38,HIP 2628,-,-,129,2904,Cas
8.347330131,-71.26624456,6.109,HIP 2629,-,θ Tucanae,139,3112,Tuc
8.42100578,-29.5582775,5.541,HIP 2661,-,-,138,3059,Scl
8.43252768,-35.00207626,6.4,HIP 2663,-,-,-,3074,Scl
8.603830496,66.75033827,6.473,HIP 2707,-,16 Cas,137,3038,Cas
8.615964998,-52.37309152,5.57,HIP 2711,-,-,140,3158,Phe
8.730680104,13.37113974,6.39,HIP 2734,-,-,141,3166,Psc
8.81199867,-3.59284352,5.21,HIP 2762,-,13 Cet,142,3196,Cet
8.886805856,-0.505610756,5.936,HIP 2787,-,14 Cet,143,3229,Cet
8.888912389,-54.82187171,6.052,HIP 2789,-,-,148,3303,Phe
8.921564452,-48.00090693,5.51,HIP 2802,-,λ 2 Phoenicis,147,3302,Phe
9.013150622,-14.9730335,6.444,HIP 2846,-,57 G. Cet,150,3325,Cet
9.028571357,-22.84233536,6.06,HIP 2852,-,BG Cet,151,3326,Cet
9.034625815,54.16844991,5.076,HIP 2854,-,-,144,3240,Cas
9.11393597,60.32621321,5.792,HIP 2876,-,-,146,3283,Cas
9.156876048,-65.12444616,6.413,HIP 2889,-,-,160,3444,Tuc
9.193504439,44.48858894,5.129,HIP 2900,-,V428 And,152,3346,And
9.197129168,15.23171954,5.863,HIP 2903,-,53 Psc,155,3379,Psc
9.22021384,33.71934342,4.36,HIP 2912,-,π Andromedae,154,3369,And
9.242852031,53.89691044,3.66,HIP 2920,Fulu,ζ Cassiopeiae,153,3360,Cas
9.279957358,24.01413917,6.16,HIP 2926,-,-,156,3411,And
9.326027423,-54.39381885,6.403,HIP 2937,-,-,162,3488,Phe
9.336175837,-24.7672573,6.2,HIP 2941,-,59 G. Cet,159,3443B,Cet
9.338415606,35.39950297,5.431,HIP 2942,-,-,157,3421,And
9.377048295,3.135352277,6.407,HIP 2954,-,92 G. Psc,161,3457,Psc
9.638947629,29.31175323,4.38,HIP 3031,-,ϵ Andromedae,163,3546,And
9.703262912,-25.1078168,6.41,HIP 3056,-,-,-,3605,Scl
9.791225378,49.35458829,5.419,HIP 3083,-,-,164,3574,Cas
9.831679638,30.86098358,3.28,HIP 3092,-,δ Andromedae,165,3627,And
9.840855803,21.25047581,5.88,HIP 3093,-,54 Psc,166,3651,Psc
9.946875728,82.49376282,6.389,HIP 3132,-,-,158,3440,Cep
9.96645883,-44.79629201,5.998,HIP 3137,-,-,171,3750,Phe
9.981548238,21.43849668,5.428,HIP 3138,-,55 Psc,167,3690,Psc
10.10695778,-59.45460182,5.9,HIP 3170,-,-,176,3823,Tuc
10.11909809,-16.5166617,6.49,HIP 3175,-,63 G. Cet,172,3794,Cet
10.12684601,56.53732922,2.23,HIP 3179,Schedar,α Cassiopeiae,168,3712,Cas
10.1366416,-23.80492464,6.14,HIP 3185,-,64 G. Cet,173,3795,Cet
10.17654837,-4.351840283,5.885,HIP 3193,-,65 G. Cet,174,3807,Cet
10.27993575,39.45866375,5.33,HIP 3231,-,32 And,175,3817,And
10.33154746,-46.08498136,4.59,HIP 3245,-,μ Phoenicis,180,3919,Phe
10.40015738,24.62901355,6.046,HIP 3269,-,-,178,3883,And
10.44332208,-56.50131623,5.7,HIP 3277,-,ξ Phoenicis,183,3980,Phe
10.51425258,66.14759331,5.821,HIP 3299,-,-,177,3856,Cas
10.51621753,50.51253345,4.81,HIP 3300,-,ξ Cassiopeiae,179,3901,Cas
10.61821618,-65.4680296,5.381,HIP 3330,-,ρ Tucanae,187,4089,Tuc
10.62934337,58.75341372,6.171,HIP 3334,-,-,181,3924,Cas
10.67479065,-60.26280656,5.98,HIP 3352,-,-,186,4088,Tuc
10.684708,41.26875,3.44,-,-,M 31,-,-,And
10.83837552,-57.4630635,4.361,HIP 3405,-,η Phoenicis,191,4150,Phe
10.86695701,47.02454578,4.949,HIP 3414,-,π Cassiopeiae,184,4058,Cas
10.89737874,-17.98660632,2.01,HIP 3419,Diphda,β Ceti,188,4128,Cet
10.95868937,-12.01182635,6.02,HIP 3436,-,71 G. Cet,190,4145,Cet
11.04750038,-10.60955073,4.767,HIP 3455,-,ϕ 1 Ceti,194,4188,Cet
11.05041264,-38.42168172,5.96,HIP 3456,-,λ 2 Sculptoris,195,4211,Scl
11.10913146,47.86398413,5.648,HIP 3478,-,68 Cas,189,4142,Cas
11.13188951,-62.49758964,6.26,-,-,-,199,4294A,Tuc
11.1813275,48.28436973,4.5,HIP 3504,-,ο Cassiopeiae,193,4180,Cas
11.18498385,-22.00613337,5.22,HIP 3505,-,73 G. Cet,197,4247,Cet
11.23771903,-42.67655893,5.926,HIP 3521,-,-,198,4293,Phe
11.24975745,-53.71489296,6.15,HIP 3527,-,-,202,4304,Phe
11.32155688,55.2213975,5.41,HIP 3544,-,-,196,4222,Cas
11.3505212,-4.629159691,6.16,HIP 3552,-,74 G. Cet,201,4301,Cet
11.36953098,-12.88080877,6.15,HIP 3559,-,18 Cet,203,4307,Cet
11.41281904,74.9880706,5.652,HIP 3572,-,YZ Cas,192,4161,Cas
11.42377719,-16.42421989,6.498,-,-,-,206,4338A,Cet
11.42378067,-16.42421794,6.499,HIP 3576,-,76 G. Cet,206,4338,Cet
11.43997054,-47.55198407,5.794,HIP 3583,-,-,209,4391,Phe
11.54504995,44.86149994,6.024,HIP 3604,-,-,205,4335,And
11.54898309,-22.52210294,5.5,HIP 3607,-,77 G. Cet,210,4398,Cet
11.63729937,15.47550902,5.38,HIP 3632,-,57 Psc,211,4408,Psc
11.67691036,59.57454096,6.41,HIP 3649,-,-,207,4362,Cas
11.75606702,11.97385157,5.504,HIP 3675,-,58 Psc,213,4482,Psc
11.80677648,19.57870598,6.101,HIP 3685,-,59 Psc,214,4490,Psc
11.8346905,24.26717855,4.06,HIP 3693,Shimu,ζ Andromedae,215,4502,And
11.84847402,6.740971526,5.961,HIP 3697,-,60 Psc,216,4526,Psc
11.9300883,-18.06133799,5.693,HIP 3717,-,78 G. Cet,218,4585,Cet
11.94189122,74.84756979,5.413,HIP 3721,-,23 Cas,208,4382,Cas
12.00443752,-21.7225263,5.57,HIP 3741,-,79 G. Cet,220,4622,Cet
12.03792801,72.67449667,5.855,HIP 3750,-,-,212,4440,Cas
12.07254061,7.299930471,5.912,HIP 3760,-,62 Psc,221,4627,Psc
12.09573323,5.280613746,5.74,HIP 3765,-,-,222,4628,Psc
12.14757078,-74.92343528,5.083,HIP 3781,-,λ Hydri,236,4815,Hyi
12.17060131,7.585081917,4.44,HIP 3786,-,δ Piscium,224,4656,Psc
12.2084229,50.96816513,4.891,HIP 3801,-,ν Cassiopeiae,223,4636,Cas
12.21358,27.74011,6.3,-,-,BD+26 128,-,-,And
12.23636469,-46.69764537,6.277,HIP 3807,-,-,229,4737,Phe
12.27622748,57.81517729,3.44,HIP 3821,Achird,η Cassiopeiae,219,4614,Cas
12.30812591,-24.13666407,5.9,HIP 3834,-,-,228,4732,Cet
12.35673719,-13.56127105,5.594,HIP 3849,-,81 G. Cet,227,4730,Cet
12.38929498,-23.36214067,6.3,HIP 3858,-,82 G. Cet,232,4772,Cet
12.45352635,41.07891089,4.53,HIP 3881,-,ν Andromedae,226,4727,And
12.47030751,27.71080861,6.28,HIP 3885,-,* 65 Psc B,230,4757,Psc
12.47152676,27.71028818,6.29,HIP 3885,-,* 65 Psc A,231,4758,Psc
12.51570232,-43.39496732,6.476,HIP 3903,-,-,239,4849,Phe
12.53162068,-10.64432885,5.19,HIP 3909,-,ϕ 2 Ceti,235,4813,Cet
12.57610548,45.00225987,6.15,HIP 3919,-,GO And,234,4778,And
12.67160982,-50.98681728,5.225,HIP 3949,-,ρ Phoenicis,242,4919,Phe
12.68165727,64.24756932,5.362,HIP 3951,-,-,233,4775,Cas
12.7391482,51.50803443,6.36,HIP 3965,-,-,238,4818,Cas
12.81826322,61.80549444,6.18,HIP 3988,-,-,237,4817,Cas
12.82634991,3.385024903,6.368,HIP 3992,-,98 G. Psc,243,4928,Psc
12.8907945,51.57142447,6.22,HIP 4023,-,-,241,4881,Cas
13.10216416,-69.50376128,6.22,HIP 4084,-,λ 1 Tucanae,252,5190,Tuc
13.1583,-72.8003,2.2,-,-,NAME SMC,-,-,Tuc
13.16926912,-24.00584309,5.48,HIP 4104,-,88 G. Cet,247,5098,Cet
13.25205925,-1.144259783,4.76,HIP 4147,-,20 Cet,248,5112,Cet
13.26748518,61.12397202,4.8,HIP 4151,-,-,244,5015,Cas
13.36759512,37.41820327,6.057,HIP 4185,-,-,249,5118,And
13.4078239,-62.87135987,5.748,HIP 4200,-,BQ Tuc,257,5276,Tuc
13.44833213,52.68929443,6.31,HIP 4212,-,-,250,5128,Cas
13.5733033,-8.740663899,6.161,HIP 4257,-,21 Cet,255,5268,Cet
13.64676071,19.18842217,5.79,HIP 4267,-,66 Psc,254,5267,Psc
13.64678952,19.18840437,6.13,HIP 4267,-,* 66 Psc A,254,5267,Psc
13.72141693,83.70740982,5.59,HIP 4283,-,-,240,4853,Cep
13.74188453,23.62849729,6.43,HIP 4288,-,* 36 And B,258,5286,And
13.74210682,23.62831351,6,HIP 4288,-,* 36 And A,258,5286,And
13.74210869,23.62832774,5.45,HIP 4288,-,36 And,258,5286,And
13.75064876,58.97269921,4.82,HIP 4292,-,υ 1 Cassiopeiae,253,5234,Cas
13.7512962,-69.52708464,5.454,HIP 4293,-,λ 2 Tucanae,270,5457,Tuc
13.77168476,48.67852253,6.31,HIP 4298,-,-,256,5273,Cas
13.81113867,24.55706414,6.24,HIP 4317,-,-,259,5316,Psc
13.92666733,-7.34714872,5.85,HIP 4346,-,93 G. Cet,263,5384,Cet
13.98140508,-27.77583956,6.13,HIP 4363,-,-,268,5445,Scl
13.99379058,27.20938196,6.1,HIP 4366,-,67 Psc,262,5382,Psc
14.00620662,-11.26652605,5.326,HIP 4371,-,ϕ 3 Ceti,267,5437,Cet
14.03799938,13.95195876,6.44,HIP 4382,-,-,-,5418,Psc
14.05405012,57.99655836,6.19,HIP 4383,-,-,260,5343,Cas
14.16627144,59.18105702,4.622,HIP 4422,Castula,υ 2 Cassiopeiae,265,5395,Cas
14.17721289,60.71674002,2.39,HIP 4427,Tiansi,γ Cassiopeiae,264,5394,Cas
14.18837115,38.49933427,3.87,HIP 4436,-,μ Andromedae,269,5448,And
14.19571524,60.36283867,5.566,HIP 4440,-,-,266,5408,Cas
14.22971961,68.77563793,6.386,HIP 4446,-,-,261,5357,Cas
14.30166783,23.41765002,4.42,HIP 4463,Kui,η Andromedae,271,5516,And
14.33169425,61.42189477,6.437,HIP 4475,-,-,-,5459,Cas
14.41518723,45.8393801,6.086,HIP 4501,-,-,272,5526,And
14.45896739,28.99221399,5.438,HIP 4510,-,68 Psc,274,5575,Psc
14.47712866,13.69586191,6.283,HIP 4520,-,-,276,5612,Psc
14.55924556,33.95088447,5.98,HIP 4552,-,-,275,5608,And
14.57871272,21.4044944,6.46,HIP 4558,-,-,277,5641,Psc
14.59262314,-60.69623852,6.235,HIP 4563,-,-,281,5771,Tuc
14.62942495,66.35179378,5.97,HIP 4572,-,-,273,5550,Cas
14.65149694,-29.35745339,4.27,HIP 4577,-,α Sculptoris,280,5737,Scl
14.68278355,-11.37997519,5.614,HIP 4587,-,ϕ 4 Ceti,279,5722,Cet
14.95702965,6.483226131,6.14,HIP 4655,-,WW Psc,284,5820,Psc
15.01482355,44.71324752,6.05,HIP 4675,-,-,282,5788,And
15.12918227,70.98299033,6.4,HIP 4709,-,-,278,5715,Cas
15.32614752,-38.91652842,5.582,HIP 4770,-,ξ Sculptoris,288,6055,Scl
15.36268611,49.54422114,6.48,HIP 4786,-,-,-,5927,Cas
15.41101888,-16.26557175,6.47,HIP 4801,-,101 G. Cet,-,6037,Cet
15.50758508,-57.00238736,6.1,HIP 4829,-,ω Phoenicis,295,6192,Phe
15.57695715,51.03494746,6.49,HIP 4844,-,-,287,6028,Cas
15.61012941,-31.55201383,5.501,HIP 4852,-,σ Sculptoris,293,6178,Scl
15.67877897,-65.45610155,6.275,HIP 4879,-,CC Tuc,304,6311,Tuc
15.70456995,31.80426168,5.5,HIP 4889,-,σ Piscium,291,6118,Psc
15.70495705,-46.39730927,5.387,HIP 4890,-,-,299,6245,Phe
15.72606128,41.34521355,5.932,HIP 4903,-,39 And,290,6116,And
15.73586826,7.890133181,4.28,HIP 4906,-,ϵ Piscium,294,6186,Psc
15.76057063,-4.836599219,5.408,HIP 4914,-,25 Cet,296,6203,Cet
15.82372444,-29.52584649,6.283,HIP 4932,-,-,300,6269,Scl
15.90418082,61.0748226,6,HIP 4962,-,-,292,6130,Cas
15.95428421,1.366847257,6.065,HIP 4979,-,26 Cet,301,6288,Cet
16.00996052,52.50216184,5.977,HIP 4998,-,-,298,6211,Cas
16.08104619,61.58018395,5.833,HIP 5021,-,-,297,6210,Cas
16.115102,29.65878665,6.202,HIP 5034,-,-,303,6301,Psc
16.13572745,-33.532865,6.46,HIP 5042,-,-,-,6403,Scl
16.21932464,5.656264734,6.007,HIP 5074,-,73 Psc,307,6386,Psc
16.2723164,14.94613496,5.631,HIP 5081,-,72 Psc,308,6397,Psc
16.40367813,-9.979322742,6.088,HIP 5121,-,27 Cet,315,6482,Cet
16.42060054,21.4731919,5.273,HIP 5131,-,ψ 1 Piscium A,310,6456,Psc
16.42379629,21.46544778,5.455,HIP 5132,-,ψ 1 Piscium B,311,6457,Psc
16.52099799,-46.71841069,3.3,HIP 5165,-,β Phoenicis,322,6595,Phe
16.52103212,-46.718404,4.09,HIP 5165,-,* bet Phe B,322,6595B,Phe
16.52123031,-46.71849869,4,HIP 5165,-,* bet Phe A,322,6595,Phe
16.52145268,-9.83935521,5.565,HIP 5164,-,28 Cet,317,6530,Cet
16.53214248,-23.99248441,6.114,HIP 5170,-,106 G. Cet,320,6559,Cet
16.54667081,32.1814886,6.26,HIP 5175,-,76 Psc,-,6476,Psc
16.64011065,12.95603738,6.144,HIP 5204,-,75 Psc,319,6557,Psc
16.75072711,56.93497185,6.401,HIP 5240,-,-,316,6497,Cas
16.78940997,53.49818484,6.29,HIP 5251,-,-,318,6540,Cas
16.803851,-23.99633496,6.353,HIP 5259,-,108 G. Cet,325,6668,Cet
16.82776801,-61.77528842,5.342,HIP 5268,-,ι Tucanae,332,6793,Tuc
16.94253648,-9.785550681,5.705,HIP 5296,-,30 Cet,329,6706,Cet
16.94926387,-41.48684314,5.207,HIP 5300,-,υ Phoenicis,331,6767,Phe
16.98818325,20.73906955,5.563,HIP 5310,-,ψ 2 Piscium,328,6695,Psc
